,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4019999,3870000,2540000,520000,10950000
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4890000,2990000,2130000,780000,10790000
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2960000,4880000,810000,2120000,10770000
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4990000,3690000,380000,1630000,10690000
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4760000,3760000,440000,1620000,10570000
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5990000,2150000,2120000,290000,10550000
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4340000,2650000,3150000,350000,10490000
60,Super Mario 64,DS,2004,Platform,Nintendo,5080000,3110000,1250000,980000,10420000
61,Just Dance 3,Wii,2011,Misc,Ubisoft,6050000,3150000,0,1070000,10260000
62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6720000,2630000,40000,820000,10210000
63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7030000,1980000,80000,780000,9880000
64,Mario Kart 64,N64,1996,Racing,Nintendo,5550000,1940000,2230000,150000,9870000
65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3660000,3070000,2470000,630000,9820000
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6630000,2360000,40000,730000,9760000
67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3010000,2470000,3280000,960000,9720000
68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4090000,3730000,380000,1380000,9590000
69,Just Dance 2,Wii,2010,Misc,Ubisoft,5840000,2890000,10000,780000,9520000
70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3880000,3420000,1690000,500000,9490000
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5910000,2380000,130000,900000,9320000
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4360000,1710000,3000000,230000,9300000
73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5580000,2830000,20000,770000,9200000
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2009999,2320000,4360000,410000,9090000
75,Mario Party DS,DS,2007,Misc,Nintendo,4460000,1880000,1980000,700000,9020000
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5030000,2860000,100000,850000,8840000
77,Super Mario Kart,SNES,1992,Racing,Nintendo,3540000,1240000,3810000,180000,8760000
78,FIFA 16,PS4,2015,Sports,Electronic Arts,1110000,6060000,60000,1260000,8490000
79,Wii Party,Wii,2010,Misc,Nintendo,1790000,3530000,2490000,680000,8490000
80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6820000,1530000,50000,80000,8490000
81,Mario Party 8,Wii,2007,Misc,Nintendo,3810000,2300000,1580000,730000,8420000
82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2910000,1860000,3140000,430000,8330000
83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1060000,5050000,130000,2009999,8240000
84,The Sims 3,PC,2009,Simulation,Electronic Arts,980000,6420000,0,710000,8109999
85,GoldenEye 007,N64,1997,Shooter,Nintendo,5800000,2009999,130000,150000,8090000
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2580000,3900000,660000,910000,8060000
87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2910000,2069999,2730000,330000,8050000
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2280000,1720000,3630000,230000,7860000
89,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2820000,1780000,2690000,550000,7840000
90,Pac-Man,2600,1982,Puzzle,Atari,7280000,450000,0,80000,7810000
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2900000,2830000,240000,1750000,7720000
92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3660000,2420000,980000,640000,7690000
93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2930000,3290000,220000,1230000,7670000
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2800000,3300000,140000,1370000,7600000
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4099999,1890000,1450000,160000,7600000
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3780000,2170000,1310000,310000,7580000
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5390000,1180000,700000,190000,7460000
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3240000,1350000,2420000,430000,7450000
99,Call of Duty: World at War,X360,2008,Shooter,Activision,4790000,1900000,0,690000,7370000
100,Battlefield 3,X360,2011,Shooter,Electronic Arts,4460000,2130000,60000,690000,7340000
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3830000,2190000,600000,700000,7310000
102,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4520000,2089999,10000,670000,7300000
103,Just Dance,Wii,2009,Misc,Ubisoft,3510000,3030000,0,730000,7270000
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2850000,2930000,350000,1100000,7230000
105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3270000,2830000,80000,1020000,7200000
106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3270000,2220000,1400000,290000,7160000
107,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3680000,1750000,1420000,280000,7130000
108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4410000,1040000,1390000,220000,7070000
109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3130000,2069999,1270000,490000,6960000
110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2470000,3150000,240000,1100000,6960000
111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4120000,1770000,870000,190000,6950000
112,Just Dance 4,Wii,2012,Misc,Ubisoft,4139999,2210000,0,560000,6910000
113,FIFA 14,PS3,2013,Sports,Electronic Arts,780000,4320000,70000,1730000,6900000
114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2710000,3020000,80000,1090000,6900000
115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2930000,2750000,170000,990000,6830000
116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2770000,2800000,190000,1060000,6830000
117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3230000,2350000,940000,300000,6820000
118,Zumba Fitness,Wii,2010,Sports,505 Games,3500000,2640000,0,670000,6810000
119,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4150000,1920000,60000,640000,6760000
120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3270000,2250000,210000,1000000,6730000
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3100000,2300000,280000,1040000,6720000
122,FIFA 12,PS3,2011,Sports,Electronic Arts,840000,4320000,110000,1420000,6690000
123,Big Brain Academy,DS,2005,Misc,Nintendo,1670000,2780000,1600000,620000,6670000
124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2790000,2610000,170000,1030000,6600000
125,FIFA 15,PS4,2014,Sports,Electronic Arts,790000,4290000,50000,1470000,6590000
126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3250000,1840000,1030000,470000,6590000
127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2550000,2710000,250000,1050000,6560000
128,The Legend of Zelda,NES,1986,Action,Nintendo,3740000,930000,1690000,140000,6510000
129,Assassin's Creed III,PS3,2012,Action,Ubisoft,2640000,2560000,160000,1140000,6500000
130,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4980000,1300000,80000,70000,6430000
131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2570000,1580000,2060000,210000,6410000
132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3640000,1200000,1490000,70000,6400000
133,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2550000,1560000,1290000,990000,6390000
134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4340000,1350000,60000,610000,6360000
135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3700000,1970000,90000,570000,6340000
136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4010000,1260000,870000,170000,6310000
137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2470000,830000,2870000,120000,6300000
138,World of Warcraft,PC,2004,Role-Playing,Activision,70000,6210000,0,0,6280000
139,Driver,PS,1999,Action,GT Interactive,3110000,2800000,20000,330000,6270000
140,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3920000,1780000,30000,510000,6240000
141,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4050000,1620000,70000,490000,6240000
142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3540000,1900000,70000,600000,6110000
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2450000,2009999,870000,720000,6050000
144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4470000,1200000,160000,190000,6030000
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2630000,1740000,830000,830000,6030000
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3180000,1830000,780000,240000,6030000
147,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2410000,2280000,280000,1010000,5990000
148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1880000,0,2330000,1740000,5950000
149,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2800000,2049999,170000,900000,5920000
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,660000,690000,4350000,150000,5840000
151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3660000,1630000,0,530000,5830000
152,Resident Evil 2,PS,1998,Action,Virgin Interactive,1880000,1470000,2020000,450000,5820000
153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2260000,1890000,1360000,230000,5740000
154,Cooking Mama,DS,2006,Simulation,505 Games,3130000,1940000,70000,580000,5720000
155,Destiny,PS4,2014,Shooter,Activision,2490000,2049999,160000,960000,5650000
156,Tetris,NES,1988,Puzzle,Nintendo,2970000,690000,1810000,110000,5580000
157,Assassin's Creed II,PS3,2009,Action,Ubisoft,2540000,1950000,210000,870000,5570000
158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2950000,600000,1970000,40000,5550000
159,Assassin's Creed,X360,2007,Adventure,Ubisoft,3280000,1650000,70000,550000,5550000
160,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2700000,1910000,110000,800000,5530000
161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2990000,1920000,100000,510000,5510000
162,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,470000,570000,4130000,340000,5500000
163,Super Mario Advance,GBA,2001,Platform,Nintendo,3140000,1240000,910000,200000,5490000
164,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2620000,1640000,990000,230000,5470000
165,Super Mario World,GBA,2001,Platform,Nintendo,3210000,1110000,950000,200000,5460000
166,Pokemon Stadium,N64,1999,Strategy,Nintendo,3180000,1240000,940000,90000,5450000
167,Call of Duty: World at War,PS3,2008,Shooter,Activision,2720000,1870000,0,840000,5430000
168,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2069999,2290000,240000,820000,5420000
169,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1970000,2510000,0,940000,5420000
170,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1740000,1240000,1870000,520000,5360000
171,Dr. Mario,GB,1989,Puzzle,Nintendo,2180000,960000,2000000,200000,5340000
172,Pokemon Pinball,GB,1999,Misc,Nintendo,3020000,1120000,1010000,160000,5310000
173,Assassin's Creed III,X360,2012,Action,Ubisoft,3130000,1710000,30000,440000,5300000
174,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1620000,770000,2780000,140000,5300000
175,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1920000,1080000,2110000,170000,5290000
176,Donkey Kong 64,N64,1999,Platform,Nintendo,3330000,790000,1090000,60000,5270000
177,Assassin's Creed II,X360,2009,Action,Ubisoft,3100000,1560000,80000,510000,5270000
178,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1220000,2480000,1030000,520000,5260000
179,Tomb Raider II,PS,1997,Action,Eidos Interactive,2300000,2460000,200000,280000,5240000
180,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,650000,750000,3610000,200000,5210000
181,Diablo III,PC,2012,Role-Playing,Activision,2430000,2150000,0,620000,5200000
182,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2930000,1250000,830000,200000,5200000
183,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2320000,1300000,1270000,310000,5190000
184,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2490000,980000,1570000,150000,5190000
185,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1080000,3480000,30000,580000,5180000
186,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1900000,1830000,950000,490000,5170000
187,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2100000,740000,2200000,110000,5150000
188,Tomodachi Life,3DS,2013,Simulation,Nintendo,960000,2020000,1890000,280000,5150000
189,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1640000,2480000,440000,580000,5140000
190,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1980000,2230000,130000,800000,5130000
191,Kirby's Dream Land,GB,1992,Platform,Nintendo,2710000,610000,1700000,110000,5130000
192,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3590000,1110000,50000,380000,5130000
193,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3210000,1530000,10000,380000,5130000
194,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3220000,1690000,0,200000,5120000
195,Guitar Hero II,PS2,2006,Misc,RedOctane,3810000,630000,0,680000,5120000
196,Resident Evil 5,PS3,2009,Action,Capcom,1960000,1430000,1080000,650000,5110000
197,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2660000,2009999,0,410000,5080000
198,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1700000,2020000,160000,1210000,5080000
199,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,600000,3290000,60000,1130000,5080000
200,Super Mario Bros.,GB,1999,Platform,Nintendo,3400000,1300000,150000,220000,5070000
201,Resident Evil,PS,1996,Action,Virgin Interactive,2049999,1160000,1110000,730000,5050000
202,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3420000,1380000,20000,200000,5020000
203,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2590000,1060000,800000,570000,5020000
204,Warzone 2100,PS,1999,Strategy,Eidos Interactive,2790000,1890000,0,330000,5010000
205,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3360000,1360000,70000,210000,5000000
206,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3060000,1180000,290000,460000,5000000
207,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3490000,10000,10000,1480000,4980000
208,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3390000,1030000,90000,440000,4960000
209,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1850000,1200000,1540000,370000,4960000
210,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2310000,1730000,120000,780000,4940000
211,Madden NFL 06,PS2,2005,Sports,Electronic Arts,3980000,260000,10000,660000,4910000
212,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2890000,1540000,0,460000,4900000
213,Diddy Kong Racing,N64,1997,Racing,Nintendo,2910000,990000,890000,100000,4880000
214,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0,0,4870000,0,4870000
215,Dr. Mario,NES,1990,Puzzle,Nintendo,2620000,600000,1520000,100000,4850000
216,God of War III,PS3,2010,Action,Sony Computer Entertainment,2740000,1360000,120000,630000,4840000
217,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2560000,1680000,0,590000,4830000
218,Assassin's Creed,PS3,2007,Adventure,Ubisoft,1910000,2000000,90000,830000,4830000
219,FIFA 15,PS3,2014,Sports,Electronic Arts,570000,3140000,40000,1070000,4820000
220,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2570000,1570000,440000,210000,4790000
221,FIFA 17,PS4,2016,Sports,Electronic Arts,280000,3750000,60000,690000,4770000
222,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2990000,1310000,40000,410000,4760000
223,Driver 2,PS,2000,Action,Atari,2360000,2100000,20000,250000,4730000
224,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,1730000,2190000,0,790000,4700000
225,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3050000,1410000,20000,200000,4680000
226,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1870000,1120000,1320000,370000,4680000
227,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1940000,1950000,80000,700000,4670000
228,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2080000,2040000,60000,470000,4640000
229,Tomb Raider,PS,1996,Action,Eidos Interactive,2290000,1970000,130000,240000,4630000
230,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3060000,1120000,0,440000,4620000
231,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2420000,910000,1150000,130000,4610000
232,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2600000,990000,890000,130000,4600000
233,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1890000,1990000,220000,480000,4580000
234,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1780000,1390000,1100000,300000,4580000
235,Splatoon,WiiU,2015,Shooter,Nintendo,1550000,1150000,1440000,430000,4570000
236,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1780000,1870000,70000,820000,4550000
237,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3190000,920000,10000,420000,4530000
238,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4179999,260000,10000,80000,4530000
239,Pitfall!,2600,1981,Platform,Activision,4210000,240000,0,50000,4500000
240,Madden NFL 07,PS2,2006,Sports,Electronic Arts,3630000,240000,10000,610000,4490000
241,Spider-Man: The Movie,PS2,2002,Action,Activision,2710000,1510000,30000,230000,4480000
242,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,200000,140000,4099999,20000,4470000
243,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,1960000,1690000,80000,740000,4470000
244,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,1540000,1940000,190000,770000,4450000
245,God of War,PS2,2005,Action,Sony Computer Entertainment,2710000,1290000,20000,430000,4450000
246,Nintendo Land,WiiU,2012,Misc,Nintendo,2550000,1110000,460000,330000,4440000
247,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2670000,1350000,10000,390000,4420000
248,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2660000,1290000,10000,460000,4410000
249,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,100000,2390000,1050000,860000,4390000
250,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2820000,1050000,130000,400000,4390000
251,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2190000,500000,1610000,80000,4380000
252,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2029999,1790000,80000,470000,4370000
253,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1730000,1730000,140000,750000,4350000
254,Sonic the Hedgehog,GEN,1991,Platform,Sega,3030000,910000,260000,130000,4340000
255,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2200000,580000,1380000,170000,4330000
256,FIFA 14,X360,2013,Sports,Electronic Arts,920000,2930000,10000,460000,4310000
257,Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,2750000,1180000,0,370000,4310000
258,Asteroids,2600,1980,Shooter,Atari,4000000,260000,0,50000,4310000
259,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2510000,1270000,110000,410000,4310000
260,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2640000,1200000,30000,390000,4260000
261,Super Mario 3D World,WiiU,2013,Platform,Nintendo,2110000,1110000,720000,300000,4250000
262,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2230000,1340000,70000,610000,4250000
263,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1410000,2020000,100000,720000,4240000
264,Namco Museum,GBA,2001,Misc,Namco Bandai Games,3000000,1110000,50000,70000,4240000
265,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1460000,0,830000,1930000,4230000
266,Daxter,PSP,2006,Platform,Sony Computer Entertainment,2450000,1020000,0,750000,4220000
267,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1700000,2270000,0,230000,4210000
268,The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,2029999,1270000,620000,300000,4210000
269,FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,780000,2550000,40000,840000,4210000
270,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,880000,2300000,200000,830000,4200000
271,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1300000,2069999,180000,650000,4200000
272,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1280000,1830000,570000,530000,4200000
